=== Demo09.5 调试日志 ===
时间: 2026-01-16 15:27:45
SENSITIVITY: 1.0
MOVE_COOLDOWN: 0.15
DEADZONE: 2
==================================================

[1768577298.187] 误差:(-97,-4) 距离:97 -> MOVE(updated, chg=23)
[1768577298.219] 误差:(-86,-3) 距离:86 -> MOVE(updated, chg=11)
[1768577298.254] 误差:(-74,-3) 距离:74 -> MOVE(updated, chg=12)
[1768577298.298] 误差:(41,-1) 距离:41 -> MOVE(updated, chg=115)
[1768577298.330] 误差:(-43,3) 距离:43 -> MOVE(updated, chg=84)
[1768577298.362] 误差:(35,4) 距离:35 -> MOVE(updated, chg=78)
[1768577298.395] 误差:(39,0) 距离:39 -> SKIP(waiting, chg=6)
[1768577298.430] 误差:(39,2) 距离:39 -> SKIP(waiting, chg=4)
[1768577298.467] 误差:(4,-1) 距离:4 -> MOVE(updated, chg=31)
[1768577298.503] 误差:(4,-1) 距离:4 -> SKIP(waiting, chg=0)
[1768577298.538] 误差:(5,-1) 距离:5 -> SKIP(waiting, chg=1)
[1768577298.579] 误差:(-7,13) 距离:15 -> MOVE(updated, chg=18)
[1768577298.612] 误差:(-4,8) 距离:9 -> SKIP(waiting, chg=6)
[1768577298.642] 误差:(-3,4) 距离:5 -> MOVE(updated, chg=10)
[1768577298.686] 误差:(0,3) 距离:3 -> SKIP(waiting, chg=3)
[1768577298.717] 误差:(7,-8) 距离:11 -> MOVE(updated, chg=16)
[1768577298.755] 误差:(1,2) 距离:2 -> MOVE(updated, chg=12)
[1768577298.804] 误差:(3,-1) 距离:3 -> SKIP(waiting, chg=4)
[1768577298.833] 误差:(-3,5) 距离:6 -> SKIP(waiting, chg=5)
[1768577298.867] 误差:(4,14) 距离:15 -> MOVE(updated, chg=12)
[1768577298.899] 误差:(4,11) 距离:12 -> SKIP(waiting, chg=3)
[1768577298.942] 误差:(3,6) 距离:7 -> MOVE(updated, chg=8)
[1768577298.977] 误差:(-1,-6) 距离:6 -> MOVE(updated, chg=13)
[1768577299.006] 误差:(-1,-8) 距离:8 -> SKIP(waiting, chg=2)
[1768577299.038] 误差:(-1,-11) 距离:11 -> SKIP(waiting, chg=5)
[1768577299.067] 误差:(-3,-18) 距离:18 -> MOVE(updated, chg=12)
